time,value
1543064786,2213842.548
1543068406,2216180.813
1543072026,2216593.972
1543075646,2209299.752
1543079286,2212555.943
1543082906,2204898.852
1543086526,2203919.731
1543090146,2207120.913
1543093766,2213988.275
1543097406,2206767.143
1543101046,2206479.100
1543104666,2218943.278
1543108286,2214747.923
1543111906,2199770.473
1543115526,2208438.886
1543119146,2201706.826
1543122786,2209507.127
1543126406,2203870.007
1543130026,2208179.926
1543133646,2218314.411
1543137266,2208701.539
1543140886,2211188.538
1543144507,2201255.669
1543148127,2217972.559
1543151747,2210144.542
1543155367,2203709.323
1543158987,2206663.187
1543162607,2205588.037
1543166227,2213954.591
1543169847,2217458.008
1543173467,2206941.806
1543177087,2211808.004
1543180707,2216260.264
1543184327,2210173.442
1543187947,2204168.184
1543191567,2217520.949
1543195187,2205045.221
1543198807,2185846.345
1543202427,2216133.193
1543206047,2214822.650
1543209667,2224634.693
1543213307,2217754.080
1543216927,2202326.712
1543220547,2199948.483
1543224167,2206826.706
1543227787,2205566.352
1543231407,2200318.597
1543235027,2223306.542
