time,value
1543065431,3128
1543069116,3124
1543072800,3117
1543076485,3109
1543080169,3104
1543083854,3107
1543087539,3106
1543091223,3112
1543094908,3103
1543098593,3110
1543102278,3105
1543105962,3108
1543109647,3106
1543113331,3113
1543117016,3110
1543120701,3111
1543124385,3112
1543128070,3109
1543131754,3110
1543135439,3114
1543139123,3113
1543142808,3113
1543146492,3114
1543150177,3115
1543153862,3107
1543157546,3112
1543161231,3114
1543164915,3112
1543168600,3115
1543172284,3117
1543175968,3115
1543179653,3113
1543183337,3116
1543187022,3111
1543190706,3113
1543194391,3110
1543198076,3113
1543201760,3116
1543205445,3115
1543209129,3115
1543212814,3111
1543216498,3112
1543220183,3113
1543223867,3111
1543227552,3112
1543231236,3111
1543234921,3113
1543238605,3112
