time,value
1543064861,5.048
1543068512,5.112
1543072164,5.141
1543075815,5.153
1543079467,5.130
1543083118,5.127
1543086769,5.108
1543090421,5.151
1543094072,5.151
1543097724,5.142
1543101375,5.131
1543105026,5.127
1543108677,5.113
1543112329,5.114
1543115980,5.134
1543119631,5.125
1543123282,5.108
1543126933,5.100
1543130584,5.113
1543134235,5.101
1543137887,5.114
1543141538,5.145
1543145189,5.125
1543148841,5.115
1543152492,5.117
1543156143,5.114
1543159794,5.102
1543163446,5.227
1543167097,5.104
1543170748,5.107
1543174400,5.122
1543178051,5.099
1543181702,5.134
1543185353,5.118
1543189004,5.101
1543192655,5.106
1543196306,5.103
1543199957,5.080
1543203608,5.107
1543207259,5.083
1543210910,5.090
1543214561,5.102
1543218212,5.119
1543221863,5.118
1543225515,5.119
1543229166,5.127
1543232817,5.112
1543236468,5.112
