time,value
1543067057,2571676.421
1543070691,2582832.675
1543074326,2588484.851
1543077960,2589366.691
1543081594,2588582.706
1543085229,2571465.320
1543088864,2570343.065
1543092503,2510951.948
1543096126,2435039.828
1543099765,2336217.323
1543103400,2600171.465
1543107034,2592443.290
1543110672,2502807.369
1543114306,2595548.390
1543117941,2580328.824
1543121577,2282420.265
1543125212,2566614.050
1543128847,2552199.143
1543132481,2570698.637
1543136116,2586344.845
1543139751,2573853.668
1543143386,2564122.886
1543147020,2570072.774
1543150655,2583992.613
1543154290,2576647.192
1543157927,2512136.176
1543161562,2576459.023
1543165196,2576418.037
1543168831,2488107.882
1543172466,2584914.197
1543176101,2575745.204
1543179735,2566116.997
1543183371,2558454.311
1543187007,2476217.701
1543190642,2562636.887
1543194276,2555025.582
1543197911,2560048.415
1543201546,2584079.644
1543205183,2518471.686
1543208818,2579547.152
1543212453,2544229.033
1543216088,2526110.418
1543219722,2580037.294
1543223357,2571268.623
1543226991,2574347.347
1543230626,2565638.505
1543234261,2570504.625
1543237896,2575492.394
