time,value
1543067560,779
1543071496,779
1543075433,779
1543079370,779
1543083307,779
1543087244,779
1543091181,779
1543095118,779
1543099055,779
1543102992,779
1543106929,779
1543110879,749
1543114831,747
1543118781,749
1543122719,779
1543126656,778
1543130593,779
1543134529,779
1543138466,779
1543142403,779
1543146340,779
1543150277,779
1543154214,779
1543158151,779
1543162088,779
1543166037,752
1543169989,746
1543173941,747
1543177891,752
1543181827,779
1543185764,779
1543189701,779
1543193638,779
1543197575,779
1543201512,779
1543205449,779
1543209386,779
1543213322,779
1543217259,779
1543221196,779
1543225146,752
1543229097,747
1543233049,747
1543236999,752
1543240935,779
1543244878,753
1543248818,747
1543252761,779
