time,value
1543067137,6.691
1543070810,6.943
1543074483,7.018
1543078152,6.934
1543081826,7.392
1543085501,7.486
1543089178,7.736
1543092855,7.657
1543096528,7.325
1543100205,7.657
1543103880,7.489
1543107558,7.776
1543111233,7.581
1543114909,7.597
1543118590,7.715
1543122266,7.632
1543125938,7.202
1543129617,7.411
1543133291,7.060
1543136966,7.492
1543140638,7.224
1543144315,7.667
1543147991,7.557
1543151666,7.548
1543155339,7.303
1543159013,7.361
1543162689,7.564
1543166367,7.867
1543170045,7.670
1543173722,7.398
1543177398,7.600
1543181074,7.572
1543184749,7.494
1543188425,7.555
1543192101,7.636
1543195778,7.662
1543199444,6.628
1543203118,7.392
1543206796,7.382
1543210472,7.468
1543214146,7.309
1543217823,7.664
1543221499,7.595
1543225176,7.434
1543228855,7.571
1543232528,7.337
1543236201,7.258
1543239878,7.673
