time,value
1545255609,2835609.433
1545255645,2709915.004
1545255683,2807700.176
1545255723,2350760.759
1545255763,2359672.331
1545255821,2330231.488
1545255879,2357873.464
1545255935,2371171.015
1545255990,2451432.688
1545256046,2464018.171
1545256106,2388797.472
1545256165,2320423.492
1545256225,2300804.992
1545256275,2316963.190
1545256316,2444839.370
1545256358,2289372.422
1545256430,1776276.658
1545256464,1422791.970
1545256508,1735161.550
1545256540,1604893.216
1545256573,1651666.972
1545256604,1617865.042
1545256637,1482205.454
1545256662,1626273.867
1545256700,1494438.669
1545256756,941057.857
1545256787,1550851.730
1545256818,1497533.826
1545256851,824308.382
1545256878,1010736.102
1545256913,1517851.738
1545256944,1550256.812
1545256986,1456134.043
1545257016,809336.021
1545257060,1065505.473
1545257087,1656802.856
1545257114,881939.002
1545257157,1291609.506
1545257187,841244.810
1545257213,1025164.026
1545257268,954151.844
1545257309,1502597.454
1545257346,1509670.903
1545257379,1468900.465
1545257421,1293894.024
1545257458,767064.776
1545257501,1287571.474
1545257530,865122.223
