time,value
1545256468,3219
1545256554,3170
1545256641,3178
1545256726,3203
1545256812,3177
1545256896,3274
1545256980,3265
1545257066,3197
1545257155,3060
1545257241,3206
1545257327,3176
1545257414,3130
1545257498,3276
1545257581,3297
1545257664,3289
1545257748,3268
1545257833,3260
1545257913,3389
1545257995,3351
1545258079,3259
1545258161,3356
1545258248,3175
1545258332,3204
1545258528,2981
1545258608,3450
1545258691,3311
1545258772,3391
1545258854,3343
1545258934,3431
1545259015,3400
1545259093,3549
1545259177,3256
1545259258,3389
1545259342,3236
1545259425,3300
1545259509,3262
1545259592,3295
1545259675,3321
1545259759,3251
1545259845,3217
1545259930,3212
1545260014,3273
1545260096,3316
1545260182,3203
1545260263,3394
1545260346,3297
1545260427,3397
1545260511,3277
