time,value
1545255705,3.994
1545255748,3.986
1545255805,4.158
1545255867,4.199
1545255931,4.192
1545255987,3.565
1545256043,3.570
1545256099,3.564
1545256165,4.394
1545256229,4.313
1545256283,4.221
1545256328,4.167
1545256375,4.351
1545256466,7.987
1545256569,9.001
1545256687,9.573
1545256752,5.929
1545256850,8.107
1545256959,9.155
1545257033,6.341
1545257111,6.969
1545257200,7.477
1545257275,6.557
1545257384,9.579
1545257457,6.776
1545257553,8.405
1545257649,8.490
1545257760,9.468
1545257862,8.438
1545257931,6.150
1545257995,6.044
1545258060,6.007
1545258125,5.945
1545258208,6.986
1545258292,7.533
1545258493,18.762
1545258606,9.258
1545258668,5.790
1545258776,8.837
1545258845,6.211
1545258939,8.281
1545259063,10.414
1545259126,5.910
1545259200,6.598
1545259291,7.903
1545259375,7.491
1545259456,6.544
1545259529,6.239
