time,value
1545318676,1061579.214
1545318706,1025395.983
1545318753,902230.683
1545318781,1007498.471
1545318823,918703.863
1545318853,949583.619
1545318881,964893.124
1545318924,920189.850
1545318988,883070.587
1545319055,855974.941
1545319125,848985.469
1545319195,875500.359
1545319259,972587.860
1545319329,923149.517
1545319402,905728.138
1545319495,905159.665
1545319580,923916.048
1545319703,763113.600
1545319796,818149.233
1545319881,868329.743
1545319957,854261.184
1545320040,825906.878
1545320094,862403.989
1545320148,900043.577
1545320204,880310.777
1545320261,879600.486
1545320316,875059.356
1545320370,894024.974
1545320428,871343.624
1545320481,901784.668
1545320536,890419.269
1545320587,899820.385
1545320642,894317.562
1545320699,855034.747
1545320776,817050.208
1545320832,884528.757
1545320883,883026.037
1545320938,881172.646
1545320994,878868.327
1545321049,878013.745
1545321116,818932.363
1545321169,882941.805
1545321224,886590.929
1545321279,881631.513
1545321334,886245.760
1545321395,882249.575
1545321475,787879.599
1545321530,873355.947
