time,value
1545323269,109
1545323307,128
1545323342,117
1545323375,122
1545323415,136
1545323454,125
1545323497,133
1545323539,145
1545323584,114
1545323630,109
1545323675,121
1545323719,117
1545323754,109
1545323799,123
1545323836,120
1545323874,132
1545323921,105
1545323974,119
1545324016,103
1545324055,117
1545324095,112
1545324136,104
1545324181,102
1545324220,127
1545324264,115
1545324308,121
1545324354,139
1545324400,126
1545324443,122
1545324482,107
1545324520,113
1545324564,114
1545324605,122
1545324643,127
1545324683,108
1545324727,144
1545324776,105
1545324818,103
1545324860,121
1545324906,119
1545324946,128
1545324982,109
1545325029,118
1545325072,113
1545325112,144
1545325154,122
1545325201,131
1545325241,135
