time,value
1545319086,8.118
1545319329,8.840
1545319703,10.655
1545320062,12.107
1545320315,12.289
1545320579,12.867
1545320870,13.198
1545321150,13.266
1545321455,13.685
1545321734,13.446
1545322035,13.650
1545322334,13.758
1545322636,13.185
1545322889,13.213
1545323022,12.130
1545323156,12.063
1545323285,11.938
1545323418,12.110
1545323554,12.113
1545323685,12.042
1545323827,12.277
1545323959,12.067
1545324094,12.150
1545324230,12.239
1545324366,12.277
1545324497,12.114
1545324628,12.109
1545324796,12.866
1545324928,12.129
1545325065,12.409
1545325199,12.256
1545325339,12.276
1545325474,12.390
1545325628,12.538
1545325764,12.307
1545325898,12.174
1545326071,12.730
1545326384,14.780
1545326603,11.941
1545326943,15.656
1545327131,13.218
1545327304,12.850
1545327432,11.956
1545327583,12.250
1545327708,11.854
1545327834,11.913
1545327987,12.311
1545328128,12.541
