time,value
1545264932,1024305.205
1545264974,978492.568
1545264998,309817.216
1545265038,285387.655
1545265063,327482.709
1545265087,246328.205
1545265127,319707.950
1545265165,508153.697
1545265213,261474.968
1545265242,215595.422
1545265265,383037.132
1545265293,228857.302
1545265321,227123.402
1545265349,218534.940
1545265378,233761.439
1545265403,235056.384
1545265431,234845.386
1545265475,238977.602
1545265505,208348.743
1545265538,211365.337
1545265567,207721.895
1545265612,258499.993
1545265640,231570.328
1545265673,191939.646
1545265701,210559.053
1545265728,227723.729
1545265759,182058.978
1545265786,228752.568
1545265812,222068.390
1545265837,378716.776
1545265863,239886.208
1545265890,242680.973
1545265916,238503.012
1545265941,325372.404
1545265968,219727.984
1545265993,224386.225
1545266020,232441.764
1545266047,239392.461
1545266073,231553.451
1545266103,195024.133
1545266147,265447.445
1545266175,224081.374
1545266201,235888.228
1545266236,281138.071
1545266272,334337.208
1545266308,320938.592
1545266337,427969.983
1545266377,317616.500
