time,value
1545301799,9392
1545301833,8685
1545301872,7469
1545301910,7654
1545301949,7321
1545301993,6579
1545302052,4726
1545302100,5903
1545302143,8253
1545302190,6104
1545302233,6661
1545302281,6036
1545302332,5423
1545302391,5127
1545302442,5601
1545302495,5353
1545302540,6950
1545302581,7155
1545302624,7370
1545302657,8829
1545302689,9205
1545302723,8663
1545302972,5958
1545305166,5339
1545305217,5662
1545307332,8846
1545307374,6877
1545307420,6314
1545307455,8190
1545307495,7344
1545307535,7379
1545307571,7919
1545307614,6755
1545307662,5832
1545307700,7715
1545307738,7568
1545307774,8223
1545307808,8629
1545307839,9280
1545307872,9019
1545307904,9113
1545307937,9130
1545307970,9037
1545308003,8805
1545308039,8093
1545308073,8517
1545308105,9423
1545308137,9015
