time,value
1545265038,8.978
1545265131,8.873
1545265245,10.840
1545265349,9.806
1545265456,9.724
1545265583,11.625
1545265701,11.067
1545265815,10.916
1545265917,9.858
1545266019,9.718
1545266120,9.619
1545266223,9.917
1545266319,9.229
1545266417,9.485
1545266514,9.415
1545266591,7.383
1545266669,7.436
1545266744,7.238
1545266822,7.412
1545266898,7.281
1545266974,7.291
1545267050,7.280
1545267131,7.867
1545267212,7.762
1545267290,7.464
1545267368,7.474
1545267445,7.437
1545267525,7.671
1545267606,7.802
1545267693,8.391
1545267777,8.049
1545267857,7.680
1545267941,8.086
1545268033,8.861
1545268140,10.382
1545268247,10.405
1545268340,8.950
1545268440,9.667
1545268523,8.032
1545268618,9.118
1545268728,10.651
1545268838,10.651
1545268944,10.265
1545269057,11.036
1545269151,9.055
1545269237,8.238
1545269334,9.362
1545269432,9.508
